,CURROPER
64003,True
33700,True
70396,True
25515,True
11199,True
14034,True
8001,True
48335,True
46376,True
55120,True
67065,True
28868,True
27038,True
16069,True
5692,True
15177,True
70665,True
38033,True
36790,True
78081,True
20071,True
50500,True
46626,True
51720,True
25124,True
74126,True
39876,False
55148,True
67762,True
36488,True
26698,False
70101,False
48127,True
16066,False
63442,True
7409,True
63416,True
75391,True
35954,False
58596,True
47610,False
44355,True
26947,True
40796,True
47817,True
68328,True
60509,True
34858,True
63153,True
8215,True
64993,True
67983,True
21539,True
72293,True
41327,True
10551,True
43771,True
22912,True
72411,True
12229,True
40911,True
75979,True
28550,True
52105,True
37295,True
15812,True
62796,True
6694,False
35251,True
27962,True
60685,True
68141,True
5959,True
13027,True
9432,True
1870,True
55315,True
56667,True
71677,True
21044,True
66410,True
48978,True
13581,True
55154,False
5374,False
39505,True
27162,True
46533,True
29690,True
36351,True
1545,True
15533,True
72927,True
29594,False
20394,True
58684,True
31171,True
71777,True
65156,True
58192,True
57826,True
48708,True
64916,True
24604,True
33029,True
32906,True
74679,True
12302,True
2198,True
64146,True
562,True
29003,True
62988,True
5141,True
14164,True
3923,True
67704,True
18386,True
55431,True
60032,False
49741,True
53734,False
44220,True
72694,True
48563,True
25251,True
65472,True
47480,True
7530,True
71107,True
52396,True
10511,True
71082,True
12686,False
54428,True
32053,True
25603,True
47134,False
69689,True
47177,True
18441,False
22215,True
21303,False
3294,True
46738,True
73853,True
78157,True
46132,True
59829,True
942,True
53438,True
1278,True
46714,True
38530,True
47963,True
8242,True
28881,True
50621,True
61356,False
63211,True
52212,True
17798,True
66359,True
3135,True
58802,True
2003,True
38867,False
73839,True
56457,True
62235,True
41568,True
32817,False
40816,True
800,True
55601,True
64819,True
30557,True
67727,True
21290,True
8489,False
41893,True
38142,True
28353,True
28855,True
53333,True
39195,True
38160,True
58589,True
73369,True
76210,True
45755,True
7803,True
63691,True
36506,True
75489,True
34100,True
41537,True
2103,True
10628,False
9535,True
26608,True
30280,True
13783,True
37170,True
13183,True
76600,True
31191,True
68238,True
44667,False
25767,True
38756,True
36161,True
892,True
71478,True
8684,True
41236,False
56924,True
32119,False
62311,False
59602,True
50766,True
404,True
51113,False
69211,True
40783,True
24265,True
75166,True
65581,True
6639,True
53913,True
53408,True
70865,True
490,True
30709,True
77069,True
25842,False
60578,True
14903,False
67005,True
32378,True
54393,True
68292,True
15382,True
11904,True
19939,True
52296,True
30842,False
43529,True
38684,True
35370,False
27274,True
64314,True
54230,True
49663,False
48340,True
76613,True
63543,True
51142,True
20188,True
37537,True
70104,False
28252,True
67233,True
73913,True
59244,True
33231,False
17997,True
72879,True
45694,True
13276,True
1200,True
22455,False
9972,True
6776,True
39906,True
712,True
45382,True
61620,False
14830,True
56158,True
51170,True
21417,True
10734,True
36000,True
37605,True
66018,True
63057,True
35481,False
12143,False
52842,True
13394,True
26043,True
42755,True
11288,True
26709,False
30445,True
39539,False
41106,True
27837,True
12773,False
38415,False
12251,False
72382,True
33922,True
16379,True
170,True
29457,True
77609,True
26937,True
18945,True
67129,True
13152,True
31247,True
3933,True
75431,True
75315,True
12424,False
15892,True
51245,True
24383,True
22066,True
36871,True
65473,True
8598,True
17508,True
75049,True
11899,True
46229,True
65521,True
49917,True
63325,False
14207,True
21018,True
34091,True
28907,True
65021,True
36960,False
19449,True
78407,True
23398,True
61152,True
68702,True
69261,True
49008,True
19882,True
62829,True
49546,True
35714,True
39804,True
34573,True
37206,True
42163,True
47353,True
27669,True
60769,True
62206,True
11821,True
47082,True
33404,False
59295,True
27648,True
31002,True
8188,True
13352,True
19265,True
55189,True
12917,True
74555,True
61728,True
76845,True
54707,True
41345,True
39319,True
48219,True
3514,True
34697,True
27573,True
47918,True
44073,True
37560,True
47598,True
29076,True
11611,True
45125,True
26623,True
59920,True
11025,True
17596,True
20779,True
29955,True
43138,True
60904,True
6056,True
58796,True
73152,True
1844,True
75972,True
73191,True
62238,True
27916,True
8229,True
23286,True
74552,True
55832,True
39302,True
17225,True
166,True
31696,True
71608,True
27874,True
61915,True
39181,True
50476,True
4707,True
8443,True
24398,True
64082,True
62003,True
46269,False
59762,True
6674,True
65732,True
77693,True
66716,True
61052,True
11457,True
17519,True
57593,True
27694,True
67182,True
39435,True
29825,True
31532,True
72409,True
70261,True
69108,True
2483,True
28577,True
13012,False
77717,True
75554,True
28771,False
61858,False
29537,True
65988,True
42268,True
47169,True
7678,False
26413,True
7534,True
31919,False
8809,True
33454,False
78210,True
69219,True
51542,True
29944,True
68441,True
64259,True
30296,True
36402,True
67450,True
38858,True
74183,True
3133,True
24189,True
53041,True
20195,True
9138,True
49368,True
75671,True
59528,True
53553,True
52825,False
12627,True
18334,True
50041,True
37900,True
67092,False
8340,True
954,True
21470,True
33905,False
24881,True
76380,True
19059,True
48756,False
1319,False
44409,True
67911,True
22214,True
36581,True
18237,True
73548,True
26900,True
42615,True
42595,True
27697,True
14327,True
6679,True
42404,True
71966,True
70310,True
33919,False
60243,True
68969,True
30645,True
32762,True
34007,True
78008,True
9945,True
60534,True
26198,True
61355,True
13610,True
6910,False
2609,True
11844,False
25282,True
24020,True
74580,True
40904,True
63129,True
66888,True
9104,False
43816,False
71401,True
12149,True
72964,True
49212,True
73235,True
17672,True
72206,True
38827,True
17399,True
44869,True
33219,False
49827,True
53357,True
23485,True
28725,True
60901,False
18427,True
38825,True
6405,False
36804,True
48373,True
22823,True
34433,True
17027,False
34818,True
28241,True
57257,True
10633,True
67134,True
52624,True
69448,False
58274,True
40133,True
31804,True
11911,False
60146,True
24923,False
29250,True
76366,False
70997,True
5030,True
52206,True
51121,True
34289,True
21530,True
23973,True
20284,True
63889,False
8370,False
52669,True
1251,True
38443,True
71211,True
61267,True
1651,False
12741,True
56555,True
36802,True
56666,True
52893,True
12972,True
38178,True
78349,False
67070,True
26336,True
47282,False
42891,True
33779,True
77929,True
36384,True
61799,True
7392,True
78382,True
78547,True
3462,True
12109,True
45186,True
62305,True
53941,True
6807,True
63977,True
14126,True
51432,True
75871,True
51997,True
55946,True
16352,True
44715,True
15594,True
19026,True
31759,True
17768,True
10980,True
36652,True
76661,True
18178,True
59477,True
66489,True
76396,True
77989,True
35211,True
29224,True
6485,True
74159,True
33770,True
60452,True
22112,True
28511,False
22238,True
22590,True
59027,True
33420,False
42039,False
65889,True
45238,True
16450,True
74615,True
46604,True
32471,True
47230,True
29119,False
68781,True
1177,True
34490,True
55438,False
38523,True
54336,True
48322,True
64290,True
75515,True
27632,True
71061,True
48958,True
76255,True
65165,True
25533,True
71495,True
41631,True
68101,True
26412,False
15302,True
39433,True
5575,True
52297,True
825,True
25389,True
28987,True
30406,False
72569,True
1507,True
44034,True
46154,True
30632,True
64709,True
60017,True
51210,True
30512,True
62142,False
54017,True
69174,True
3676,True
18539,False
3397,True
19307,False
3373,True
69052,False
43848,True
51802,True
21562,True
47612,True
37472,True
69187,True
16299,True
63927,True
51958,True
5314,True
61952,True
41850,True
31051,True
74296,True
19878,False
19473,False
28000,True
76424,True
12292,False
71308,True
58370,True
36482,True
74308,True
76205,True
23264,True
26611,True
10688,True
21762,True
71172,True
8909,False
36741,True
61228,True
75267,True
22847,True
11919,True
29862,True
22297,False
57511,True
40940,True
58165,True
73751,True
48891,True
2264,True
49638,True
56420,True
75034,True
57430,True
58953,True
76832,True
64752,True
7878,True
13739,True
29170,True
31672,True
6227,False
19035,False
24695,True
59110,True
12044,True
34717,True
38557,True
14866,True
35537,True
70962,True
59438,True
72928,True
27881,True
54070,False
65255,True
981,True
16327,True
26169,False
12640,False
10544,True
62307,True
73625,True
1314,True
30470,True
29544,True
16942,True
61903,True
30239,True
44663,False
27499,True
18013,False
14361,True
55808,True
22185,False
76828,True
62412,True
13370,True
56017,True
56702,True
42895,True
4284,True
35567,True
48321,True
57392,True
66786,True
22095,True
40629,True
47868,True
44376,True
76313,True
26838,True
57909,True
35280,True
44183,True
15254,False
6159,True
20603,False
71210,True
48822,True
7637,False
60616,True
74486,True
42231,True
24912,True
10849,True
29361,True
21945,False
40457,False
2515,True
58675,True
2793,True
70950,True
41240,True
4206,True
65003,True
26783,True
64741,True
59615,True
58017,False
42580,True
13234,False
25146,False
13953,True
76500,False
1599,True
77912,True
36828,True
73262,True
34809,True
39052,True
32311,True
4838,False
25345,False
3806,True
66639,True
27406,True
49618,True
19595,True
5424,True
48150,True
10254,True
24568,True
36778,True
29881,True
39867,False
43221,True
30661,True
25978,True
61460,False
18302,False
44688,True
31233,True
45777,False
32687,False
62024,True
60401,True
11052,True
41469,False
77925,True
28636,True
15316,True
33182,False
14927,False
29800,True
66302,True
36839,True
26371,True
39596,False
30751,True
13567,True
78576,True
29302,True
48385,False
55288,True
55487,True
45907,True
14128,True
67682,True
21,True
9334,False
58201,True
40302,False
72195,True
60182,False
65890,True
43430,True
58016,True
53002,True
17903,False
35230,True
38707,True
57049,True
76059,True
52532,True
34617,True
25213,True
24598,True
43568,True
13171,True
30315,True
40657,True
57020,True
68968,True
845,True
77778,True
64568,True
42632,True
62958,True
25531,True
33335,False
58638,True
5578,True
12808,True
45206,True
46325,True
38437,True
6204,True
26393,False
5600,False
30441,True
38496,True
10946,True
59191,True
78456,True
59428,True
13560,True
7686,True
60903,False
11310,True
24712,True
46275,True
62168,True
57767,True
62766,True
48128,True
32452,False
77076,True
13696,True
34017,True
41014,True
37441,True
78448,True
69063,True
36537,True
60112,True
33752,True
31374,True
30457,True
65580,True
12787,True
53374,True
16313,True
47904,False
9164,True
24811,True
39383,True
266,False
21384,True
1787,True
69424,False
7501,True
71162,True
3198,True
54045,True
3520,True
7445,True
61585,True
9720,False
49038,True
28193,True
37811,True
78613,True
73439,True
51506,True
55303,True
53415,True
77969,True
8141,True
1382,False
12609,True
47163,True
71941,True
54603,True
8329,True
28999,True
75406,True
51216,True
45256,True
12457,False
20236,True
33555,True
6922,True
2688,True
75252,True
10607,False
59690,True
68981,False
41627,True
41224,True
35642,True
11032,True
64967,True
47484,True
1089,True
21673,False
28780,True
42883,True
17780,True
18770,True
51925,True
42044,False
40497,False
70317,True
15672,True
51637,True
43878,True
60821,False
25504,True
41997,True
7167,True
26340,False
9078,True
56317,True
11932,True
12607,True
47116,False
69815,False
76461,True
50345,True
75835,True
18807,True
27138,True
58487,True
66129,True
47804,False
10169,False
1553,True
53481,True
15686,True
23376,False
45753,True
73493,True
38903,True
12911,True
47092,False
6451,False
29397,True
11681,False
16270,True
75200,True
45744,True
68153,True
43789,True
26544,False
69624,True
1390,False
42851,True
21086,True
50639,True
21005,True
63804,True
4124,False
23212,False
67120,True
71594,True
63777,True
71739,True
52373,True
19944,True
54942,True
