,CURROPER
76927,True
71378,True
54605,True
70605,True
69330,False
48781,True
66309,True
54298,True
66234,True
66598,True
78532,True
76219,True
64629,True
53755,False
55399,True
73152,True
72893,False
50857,True
62733,False
48788,False
55817,True
75381,True
55134,True
49814,True
58355,True
71553,True
69851,False
74133,True
68390,True
69433,True
61445,True
55624,True
71321,True
67354,True
66795,True
70013,False
62729,True
67914,True
70329,False
76075,True
74418,True
51077,True
63701,True
71100,True
76063,True
70937,True
48596,True
69750,True
68533,False
56195,True
49991,False
77068,True
70928,True
75418,False
68468,True
51342,True
52245,True
68632,True
63986,True
55951,True
55262,True
55462,True
78134,True
71539,True
68970,True
64834,True
66928,True
52928,True
66694,True
70576,False
71244,True
75745,True
51295,True
63457,True
59466,True
58961,True
51257,True
73449,True
78387,True
74993,True
78537,True
71002,True
77304,True
55936,True
58259,True
59079,True
57539,False
62011,True
49560,True
51555,True
71419,True
52875,True
66180,True
57316,True
62063,True
68633,True
69570,False
48593,True
57523,False
49433,True
51330,False
59064,True
50221,True
49395,True
51194,True
63218,True
61590,True
52891,True
76533,True
73323,True
61911,True
61616,False
67384,False
77458,True
66196,True
60865,True
62933,True
61191,True
52390,True
61189,True
58720,False
50944,True
61602,True
77361,True
51082,True
63573,True
67574,True
56696,True
60177,True
75094,True
56614,True
69228,True
53910,False
67511,True
49156,True
56792,True
70529,False
55193,True
51198,True
48250,True
67602,True
77838,True
52748,False
70852,True
65058,True
74800,True
67425,True
74081,True
53444,True
48521,True
57058,True
67074,True
52392,True
67880,True
62342,True
63825,True
70954,True
77579,True
61741,True
53784,True
56071,True
77145,True
49434,True
77486,True
64622,True
64234,True
55282,True
63113,False
59114,True
48773,True
68974,True
62736,True
72040,False
76983,True
60260,False
57764,True
53435,True
71022,True
75439,True
66750,True
66890,True
69389,True
59306,True
68312,True
68950,True
62300,True
54518,True
57553,True
62401,True
71333,True
54859,True
62471,True
73370,True
55897,True
51869,True
57133,True
71868,True
53119,True
75728,True
63613,True
69735,True
60317,True
67952,True
70436,True
52914,True
69380,True
59510,True
63183,True
76650,False
56736,True
49146,True
71012,True
55942,True
48999,True
75544,True
69302,True
65332,False
50082,True
69439,True
76875,True
65697,True
59523,True
51676,True
67815,True
71918,True
67502,True
69020,False
51856,True
75442,True
61376,False
59743,True
70452,True
60798,True
69622,False
58163,True
70317,True
59957,True
75236,True
62124,True
68066,True
54480,True
68873,True
77159,True
56367,True
52677,True
65613,True
68543,False
68489,True
66597,True
75316,True
58102,True
55356,True
63912,True
67817,False
70991,True
51398,True
52377,True
53486,True
56718,True
51576,True
75274,True
56334,True
